node_id,parent_id,stage,arm,primary,GAUC,nDCG@5,delta_primary,ci95_lo,ci95_hi,confirmed,skip,buggy,error,patch,tokens_in,tokens_out,gpu_seconds
016_ensemble,009_ablate_c0_s0,ensemble,ensemble,0.60417,0.67062,0.53772,0.00031,-0.00050,0.00109,false,false,false,,"ensemble:009_ablate_c0_s0,010_ablate_c0_s1,011_ablate_c0_s2",0,0,0.0
017_ensemble,009_ablate_c0_s0,ensemble,ensemble,0.60440,0.67105,0.53774,0.00053,-0.00062,0.00191,false,false,false,,"ensemble:012_ablate_c1_s0,013_ablate_c1_s1,014_ablate_c1_s2",0,0,0.0
018_ensemble,009_ablate_c0_s0,ensemble,ensemble,0.60417,0.67062,0.53772,0.00031,-0.00050,0.00109,false,false,false,,"ensemble:009_ablate_c0_s0,010_ablate_c0_s1,011_ablate_c0_s2,012_ablate_c1_s0,013_ablate_c1_s1,014_ablate_c1_s2",0,0,0.0
019_ensemble,009_ablate_c0_s0,ensemble,ensemble,0.60438,0.67104,0.53773,0.00052,-0.00036,0.00153,false,false,false,,"ensemble:009_ablate_c0_s0,010_ablate_c0_s1,011_ablate_c0_s2,012_ablate_c1_s0,013_ablate_c1_s1,014_ablate_c1_s2",0,0,0.0
020_architecture,009_ablate_c0_s0,improve,architecture,0.60289,0.66910,0.53669,-0.00097,-0.00206,0.00020,false,false,false,,"{""arch"": ""dcnv2""}",9983,2324,47.9
021_ablate_c0_s0,020_architecture,improve,ablate,0.60289,0.66910,0.53669,-0.00097,-0.00206,0.00020,false,false,false,,"{""arch"": ""dcnv2"", ""seed"": 0}",0,0,58.7
022_ablate_c0_s1,020_architecture,improve,ablate,0.60374,0.67032,0.53715,-0.00013,-0.00141,0.00109,false,false,false,,"{""arch"": ""dcnv2"", ""seed"": 1}",0,0,52.8
023_ablate_c0_s2,020_architecture,improve,ablate,0.60369,0.67002,0.53736,-0.00017,-0.00127,0.00095,false,false,false,,"{""arch"": ""dcnv2"", ""seed"": 2}",0,0,58.7
024_ablate_c1_s0,020_architecture,improve,ablate,0.60383,0.66997,0.53769,-0.00003,0.00000,0.00000,false,false,false,,"{""arch"": ""deepfm"", ""seed"": 0}",0,0,45.8
025_ablate_c1_s1,020_architecture,improve,ablate,0.60369,0.67011,0.53726,-0.00018,-0.00131,0.00099,false,false,false,,"{""arch"": ""deepfm"", ""seed"": 1}",0,0,40.8
026_ablate_c1_s2,020_architecture,improve,ablate,0.60407,0.67049,0.53765,0.00021,-0.00089,0.00137,false,false,false,,"{""arch"": ""deepfm"", ""seed"": 2}",0,0,53.4
